entry,format,width,height,mips,flags,kv3_version_hex,bytes
dev/point_worldtext_fullbright_vmat_g_tselfillummask_2b2ebb3f.vtex_c,ATI1N,4,4,1,0,0x00000001,1976
dev/point_worldtext_translucent_fullbright_vmat_g_tselfillummask_2b2ebb3f.vtex_c,ATI1N,4,4,1,0,0x00000001,1960
dev/helper/testgrid_color_tga_2d6cc34.vtex_c,BC7,512,512,8,0,0x00000001,351572
dev/helper/testgrid_color_tga_3ba6bb3e.vtex_c,BC7,512,512,8,0,0x00000001,351588
dev/helper/testgrid_color_tga_6b94692f.vtex_c,BC7,512,512,8,0,0x00000001,351636
dev/helper/testgrid_color_tga_c671d963.vtex_c,BC7,512,512,8,0,0x00000001,351556
dev/helper/testgrid_color_tga_faaf9dce.vtex_c,BC7,512,512,8,0,0x00000001,351588
materials/blue_illum_vmat_g_tcolor_62df15c9.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blue_illum_vmat_g_tselfillummask_2b2ebb3f.vtex_c,ATI1N,4,4,1,0,0x00000001,1976
materials/blue_illum_vmat_g_ttintmaskrimlightmask_c7ebc163.vtex_c,ATI2N,4,4,1,0,0x00000001,2240
materials/citadel_loading_png_ec5793e8.vtex_c,DXT1,2048,1024,1,0,0x00000001,1050660
materials/abstract/abstract_additive_gradient_animated_vmat_g_tnormalroughness_47660df.vtex_c,BC7,4,4,1,0,0x00000001,2272
materials/abstract/abstract_additive_gradient_animated_vmat_g_tselfillummask_2b2ebb3f.vtex_c,ATI1N,4,4,1,0,0x00000001,1976
materials/abstract/abstract_concrete_trim_01a_blend_tga_ffc03b34.vtex_c,ATI1N,2048,2048,10,0,0x00000001,2798252
materials/abstract/abstract_concrete_trim_01a_color_tga_f63048d8.vtex_c,BC7,2048,2048,10,0,0x00000001,5594500
materials/abstract/abstract_concrete_trim_01a_normal_tga_16b1945a.vtex_c,BC7,2048,2048,10,0,0x00000001,5594580
materials/abstract/abstract_painted_trim_01a_color_tga_12e4fbe3.vtex_c,BC7,2048,2048,10,0,0x00000001,5594548
materials/abstract/abstract_painted_trim_01a_color_tga_401f9a29.vtex_c,BC7,2048,2048,10,0,0x00000001,5594516
materials/abstract/abstract_painted_trim_01a_normal_tga_17f018b9.vtex_c,BC7,2048,2048,10,0,0x00000001,5594580
materials/abstract/abstract_painted_trim_prop_01a_mask_tga_184d49c2.vtex_c,ATI2N,2048,2048,10,0,0x00000001,5594720
materials/abstract/abstract_painted_trim_prop_01a_mask_tga_a7367f14.vtex_c,ATI1N,2048,2048,10,0,0x00000001,2798252
materials/abstract/abstract_self_illum_gradient_psd_17fd8b90.vtex_c,BC7,512,512,8,0,0x00000001,351808
materials/abstract/abstract_self_illum_gradient_psd_2de76151.vtex_c,ATI1N,512,512,8,0,0x00000001,177000
materials/abstract/abstract_self_illum_gradient_psd_31ffeece.vtex_c,BC7,512,512,8,0,0x00000001,351776
materials/abstract/abstract_self_illum_gradient_psd_378294a7.vtex_c,ATI1N,512,512,1,0,0x00000001,133312
materials/abstract/abstract_self_illum_gradient_psd_9f8bb8ef.vtex_c,ATI1N,512,512,8,0,0x00000001,177000
materials/abstract/abstract_self_illum_psd_f31fb41f.vtex_c,ATI1N,512,512,8,0,0x00000001,176796
materials/abstract/hotspot_prop_generic_overlay_psd_57ff015b.vtex_c,ATI1N,2048,2048,10,0,0x00000001,2798300
materials/abstract/smoke_alt_trans_psd_24315940.vtex_c,ATI1N,4096,4096,11,0,0x00000001,11186908
materials/abstract/smoke_alt_trans_psd_61bc3d9e.vtex_c,ATI1N,4096,4096,11,0,0x00000001,11186892
materials/abstract/smoke_alt_trans_psd_fa9a961f.vtex_c,ATI2N,4096,4096,11,0,0x00000001,22371716
materials/abstract/smoke_jitter_mask_psd_a536ec35.vtex_c,ATI1N,512,512,8,0,0x00000001,177000
materials/abstract/smoke_jitter_mask_psd_c386b2a1.vtex_c,ATI1N,512,512,1,0,0x00000001,133312
materials/abstract/smoke_trans_psd_36515cb2.vtex_c,BC7,1024,1024,9,0,0x00000001,1400352
materials/abstract/smoke_trans_psd_5f989ae3.vtex_c,ATI1N,1024,1024,9,0,0x00000001,701288
materials/abstract/smoke_trans_psd_b1071f21.vtex_c,BC7,1024,1024,9,0,0x00000001,1400368
materials/abstract/smoke_trans_psd_c0f9f0cc.vtex_c,BC7,1024,1024,9,0,0x00000001,1400336
materials/abstract/smoke_trans_psd_cd0f81bb.vtex_c,ATI1N,1024,1024,9,0,0x00000001,701272
materials/asphalt/asphalt_road_01_blend_tga_a3912ede.vtex_c,ATI1N,2048,2048,10,0,0x00000001,2798236
materials/asphalt/asphalt_road_01_color_tga_34d16a2.vtex_c,BC7,2048,2048,10,0,0x00000001,5594484
materials/asphalt/asphalt_road_01_disp_tga_7d7dc4b0.vtex_c,ATI1N,2048,2048,10,0,0x00000001,2798284
materials/asphalt/asphalt_road_01_normal_tga_b5b3a1fa.vtex_c,BC7,2048,2048,10,0,0x00000001,5594580
materials/asphalt/asphalt_road_01_overlay_color_tga_bc1c5efd.vtex_c,DXT1,2048,2048,10,0,0x00000001,2798300
materials/asphalt/asphalt_road_01b_color_tga_671a371a.vtex_c,BC7,2048,2048,10,0,0x00000001,5594484
materials/asphalt/asphalt_road_01b_disp_tga_140fa65.vtex_c,ATI1N,2048,2048,10,0,0x00000001,2798252
materials/asphalt/asphalt_road_01b_normal_tga_665efa31.vtex_c,BC7,2048,2048,10,0,0x00000001,5594580
materials/asphalt/asphalt_road_paint_overlay_01_color_tga_1342e6d0.vtex_c,BC7,2048,2048,10,0,0x00000001,5594516
materials/asphalt/asphalt_road_paint_overlay_01_color_tga_b9751402.vtex_c,BC7,2048,2048,10,0,0x00000001,5594580
materials/asphalt/asphalt_road_paint_overlay_01_mask_tga_c6235f9c.vtex_c,ATI2N,2048,2048,3,0,0x00000001,5507124
materials/asphalt/asphalt_road_paint_overlay_01_mask_tga_fc64a7b2.vtex_c,ATI2N,2048,2048,3,0,0x00000001,5507124
materials/asphalt/asphalt_road_paint_overlay_01_normal_tga_168e7bc2.vtex_c,BC7,2048,2048,10,0,0x00000001,5594580
materials/asphalt/asphalt_road_paint_overlay_01_rough_tga_af7d8c68.vtex_c,BC7,2048,2048,10,0,0x00000001,5594580
materials/asphalt/asphalt_road_paint_overlay_01_trans_tga_788ff3c4.vtex_c,BC7,2048,2048,10,0,0x00000001,5594532
materials/blends/abstract_pattern_02_reveal_blend_png_5eee3148.vtex_c,ATI1N,1024,1024,9,0,0x00000001,701100
materials/blends/abstract_pattern_04_reveal_blend_png_a768190a.vtex_c,ATI1N,1024,1024,9,0,0x00000001,701100
materials/blends/asphalt_clean_01_color_psd_6bcd3486.vtex_c,BC7,1024,1024,9,0,0x00000001,1400352
materials/blends/asphalt_clean_01_normal_psd_fa065d45.vtex_c,BC7,1024,1024,9,0,0x00000001,1400416
materials/blends/asphalt_coarse_01_blend_psd_fd366be.vtex_c,ATI1N,1024,1024,9,0,0x00000001,701240
materials/blends/asphalt_coarse_01_color_psd_287333db.vtex_c,DXT1,1024,1024,9,0,0x00000001,701240
materials/blends/asphalt_coarse_01_color_psd_52bbff8b.vtex_c,BC7,1024,1024,9,0,0x00000001,1400384
materials/blends/asphalt_coarse_01_color_psd_56c23cb9.vtex_c,BC7,1024,1024,9,0,0x00000001,1400352
materials/blends/asphalt_coarse_01_color_psd_6add6348.vtex_c,BC7,1024,1024,9,0,0x00000001,1400384
materials/blends/asphalt_coarse_01_color_psd_f667951c.vtex_c,BC7,1024,1024,9,0,0x00000001,1400352
materials/blends/asphalt_coarse_01_normal_psd_21574655.vtex_c,BC7,1024,1024,9,0,0x00000001,1400432
materials/blends/asphalt_coarse_01_normal_psd_52225fe0.vtex_c,BC7,1024,1024,9,0,0x00000001,1400432
materials/blends/asphalt_sealed_001_color_psd_4b9aa675.vtex_c,BC7,1024,1024,9,0,0x00000001,1400352
materials/blends/asphalt_sealed_001_normal_psd_9ecf7171.vtex_c,BC7,1024,1024,9,0,0x00000001,1400432
materials/blends/asphalt_worn_01_color_psd_4dd992aa.vtex_c,BC7,1024,1024,9,0,0x00000001,1400352
materials/blends/asphalt_worn_01_normal_psd_583fdba7.vtex_c,BC7,1024,1024,9,0,0x00000001,1400432
materials/blends/blend_01_vmat_g_tambientocclusion_9782fd5c.vtex_c,ATI1N,4,4,1,0,0x00000001,2024
materials/blends/blend_01_vmat_g_tnormalroughness_2984f4a9.vtex_c,BC7,4,4,1,0,0x00000001,2112
materials/blends/blend_01_vmat_g_ttintmask_2b2ebb3f.vtex_c,ATI1N,4,4,1,0,0x00000001,2024
materials/blends/blend_asphalt_01_vmat_g_tambientocclusion_9782fd5c.vtex_c,ATI1N,4,4,1,0,0x00000001,2024
materials/blends/blend_asphalt_01_vmat_g_tnormalroughness_2984f4a9.vtex_c,BC7,4,4,1,0,0x00000001,2112
